label	repo	commit	ref
o_lora	https://github.com/cmnfriend/O-LoRA.git	07117e1fc4a5f5ad9308a815a42cee8f46502dc8	HEAD
progressive_prompts	https://github.com/arazd/ProgressivePrompts.git	01572d6a73c0576b070ceee00dbe4f5bc278423f	HEAD
continual_t0	https://github.com/ThomasScialom/T0_continual_learning.git	4841ca267b2447d1b58d677a992b6808d9eaacf2	HEAD
lfpt5	https://github.com/qcwthu/Lifelong-Fewshot-Language-Learning.git	cf7d17ce7de6a707d929d0542b3d5e639569855f	HEAD
citb	https://github.com/hyintell/CITB.git	bf50533b5bced4c388691ecc75e26773da96b3fd	HEAD
trace	https://github.com/BeyonderXX/TRACE.git	462e39f616134f4f819efeb3baea8638c03c7db4	HEAD
multiwoz	https://github.com/budzianowski/multiwoz.git	fe0c8e65cfcd8462bd33c86e35f21addc84ca82b	HEAD
multiwoz_evaluation	https://github.com/Tomiinek/MultiWOZ_Evaluation.git	cd3f0ee3a936a2d1c8567f440a0b71b215d7f991	HEAD
